#time-ms	bytes	window	drop?	version
28955	1059041	1	false	IPv4
18262	1059041	1	false	IPv4
19449	1059041	1	false	IPv4
18939	1059041	1	false	IPv4
161211	1059041	1	false	IPv4
181494	1059041	1	false	IPv4
131474	1059041	1	false	IPv4
39021	1059041	1	false	IPv4
57229	1059041	1	false	IPv4
36371	1059041	1	false	IPv4
17544	1059041	2	false	IPv4
24038	1059041	2	false	IPv4
20379	1059041	2	false	IPv4
25854	1059041	2	false	IPv4
16547	1059041	2	false	IPv4
17130	1059041	2	false	IPv4
29746	1059041	2	false	IPv4
19236	1059041	2	false	IPv4
23225	1059041	2	false	IPv4
16226	1059041	2	false	IPv4
11247	1059041	4	false	IPv4
11155	1059041	4	false	IPv4
10950	1059041	4	false	IPv4
11189	1059041	4	false	IPv4
11353	1059041	4	false	IPv4
10585	1059041	4	false	IPv4
18209	1059041	4	false	IPv4
15234	1059041	4	false	IPv4
69359	1059041	4	false	IPv4
11378	1059041	4	false	IPv4
11226	1059041	8	false	IPv4
11183	1059041	8	false	IPv4
9660	1059041	8	false	IPv4
11220	1059041	8	false	IPv4
11305	1059041	8	false	IPv4
10903	1059041	8	false	IPv4
16907	1059041	8	false	IPv4
11749	1059041	8	false	IPv4
9457	1059041	8	false	IPv4
11015	1059041	8	false	IPv4
8279	1059041	16	false	IPv4
7380	1059041	16	false	IPv4
7091	1059041	16	false	IPv4
7668	1059041	16	false	IPv4
7020	1059041	16	false	IPv4
8428	1059041	16	false	IPv4
7634	1059041	16	false	IPv4
7407	1059041	16	false	IPv4
7977	1059041	16	false	IPv4
7496	1059041	16	false	IPv4
6069	1059041	32	false	IPv4
7376	1059041	32	false	IPv4
7104	1059041	32	false	IPv4
6675	1059041	32	false	IPv4
6438	1059041	32	false	IPv4
6579	1059041	32	false	IPv4
7501	1059041	32	false	IPv4
6748	1059041	32	false	IPv4
6729	1059041	32	false	IPv4
7566	1059041	32	false	IPv4
6270	1059041	64	false	IPv4
6510	1059041	64	false	IPv4
6166	1059041	64	false	IPv4
6207	1059041	64	false	IPv4
6634	1059041	64	false	IPv4
6460	1059041	64	false	IPv4
6143	1059041	64	false	IPv4
6712	1059041	64	false	IPv4
6868	1059041	64	false	IPv4
6485	1059041	64	false	IPv4
10045	1059041	128	false	IPv4
7589	1059041	128	false	IPv4
10222	1059041	128	false	IPv4
9592	1059041	128	false	IPv4
9362	1059041	128	false	IPv4
8411	1059041	128	false	IPv4
9823	1059041	128	false	IPv4
8419	1059041	128	false	IPv4
7446	1059041	128	false	IPv4
7309	1059041	128	false	IPv4
